region,prefecture,canton,communaute_louvain,priority_score,FRI,total_pop
Plateaux,Amou,Adiva,2,33.9,0.0571800664780383,2336.723379
Plateaux,Amou,Imlè-Adiva,2,35.5,0.071100957849045,10041.092237
Plateaux,Amou,Amlamé (Ouma),2,35.3,0.0750864489808197,18899.756924
Plateaux,Amou,Kpatégan,2,38.6,0.0793573088324085,17720.923296
Plateaux,Amou,Ekpégnon,2,33.8,0.0662528021990418,7245.19035
Plateaux,Amou,Amou-Oblo,2,37.5,0.1024894407216242,22608.108086
Plateaux,Amou,Sodo,2,34.4,0.0674972273458296,8532.693758
Plateaux,Amou,Gamé,2,34.7,0.0652040915963295,5518.620946
Plateaux,Amou,Otadi,2,34.8,0.0658662353774264,7676.978117
Plateaux,Amou,Hihéatro,2,36.1,0.1005908500522796,9315.264642
Plateaux,Amou,Okpahoé,2,33.2,0.0550242656765552,2465.47937
Plateaux,Amou,Evou,2,35.6,0.0653976671891081,5187.638784
Plateaux,Amou,Témédja,2,34.0,0.0605574080972526,3194.991074
Plateaux,Amou,Avédjè,5,35.2,0.0780054574266317,4411.445912
Plateaux,Anié,Pallakoko,6,38.2,0.0770876122200565,17826.338416000002
Plateaux,Anié,Anié,6,55.0,0.2820995257231481,95578.611722
Plateaux,Anié,Kolo-Kopé,6,42.4,0.1980849228712741,19721.753754
Plateaux,Anié,Adogbénou,6,39.3,0.0828427899369937,26944.192379
Plateaux,Anié,Atchinédji,5,36.6,0.0789154783154618,10756.005673
Plateaux,Anié,Glitto,5,41.0,0.1044313600448628,34872.058971
Plateaux,Danyi,Danyi-Atigba,2,35.9,0.0958890927030572,15155.070331
Plateaux,Danyi,Yikpa,7,31.3,0.0322723006497075,1162.074347
Plateaux,Danyi,Danyi-Kakpa,2,34.4,0.0577558107905293,3274.931508
Plateaux,Danyi,Danyi-Kpeto-Evita,2,34.6,0.0805758296814765,6526.862968
Plateaux,Danyi,Danyi-Elavagnon,2,35.1,0.064393674174641,7346.001979
Plateaux,Danyi,Ahlon,2,32.4,0.056732932470213,3053.399112
Plateaux,Est-Mono,Elavagnon,6,46.7,0.197834700995292,53404.074907
Plateaux,Est-Mono,Gbadjahè,6,39.6,0.1519428322516279,13929.303658
Plateaux,Est-Mono,Morétan,6,44.8,0.101871351876588,59393.318924
Plateaux,Est-Mono,Badin-Copé,6,38.6,0.0875545382096655,22368.261708
Plateaux,Est-Mono,Kamina,6,37.6,0.0829451215948839,15178.453688
Plateaux,Est-Mono,Kpéssi,6,35.8,0.077261817603707,10165.333509
Plateaux,Est-Mono,Nyamassila,6,38.3,0.1099509684786844,16481.692365
Plateaux,Haho,Notsé,5,50.9,0.232844506079822,73732.515104
Plateaux,Haho,Dalia,5,40.8,0.1182672353150689,28191.079546
Plateaux,Haho,Atchavé,5,38.4,0.1022279631975584,20226.214218
Plateaux,Haho,Asrama,5,42.6,0.1197924771255864,48745.852066
Plateaux,Haho,Kpédomé,5,45.5,0.1657850357545257,50776.016466
Plateaux,Haho,Kpegnon (Haito),2,38.4,0.100639132585951,15232.345585
Plateaux,Haho,Wahala,5,42.0,0.1653954857436472,45121.113775
Plateaux,Kloto,Tové,7,35.0,0.0722415599150464,11399.252305
Plateaux,Kloto,Agome-Kpalime,7,51.5,0.4089137996833729,91933.23852
